Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,V_x,V_y,V_z,E_x,E_y,E_z,
-1.404057,-9.51125,0.1673268,-0.8344051,-9.917171,0.1085017,0.6412385,-10.97,0.1456191,-2.444,-10.57279,-0.634,-1.424,-9.895486,1.086,-2.444,-10.30095,1.086,
-1.403882,-9.511714,0.1690698,-0.8356086,-9.92003,0.1110476,0.6412385,-10.97,0.1456191,-2.444,-10.57205,-0.634,-1.424,-9.896443,1.086,-2.444,-10.30055,1.086,
-1.403991,-9.511974,0.1709284,-0.8380901,-9.921365,0.1152995,0.6412385,-10.97,0.1456191,-2.444,-10.57151,-0.634,-1.424,-9.897056,1.086,-2.444,-10.30022,1.086,
-1.404867,-9.512985,0.1745309,-0.8420037,-9.92042,0.1204279,0.6412385,-10.97,0.1456191,-2.444,-10.57036,-0.634,-1.424,-9.898201,1.086,-2.444,-10.29945,1.086,
-1.405792,-9.513465,0.1769706,-0.8488296,-9.917453,0.1319235,0.6412385,-10.97,0.1456191,-2.444,-10.56974,-0.634,-1.424,-9.89873,1.086,-2.444,-10.29901,1.086,
-1.407365,-9.513821,0.1826808,-0.8577543,-9.912828,0.1457088,0.6412385,-10.97,0.1456191,-2.444,-10.56878,-0.634,-1.424,-9.89946,1.086,-2.444,-10.29828,1.086,
-1.408247,-9.513396,0.1856435,-0.8691937,-9.906461,0.1613226,0.6412385,-10.97,0.1456191,-2.444,-10.56778,-0.634,-1.424,-9.900107,1.086,-2.444,-10.29747,1.086,
-1.40907,-9.513348,0.1885966,-0.8837494,-9.898342,0.1778834,0.6412385,-10.97,0.1456191,-2.444,-10.5671,-0.634,-1.424,-9.90049,1.086,-2.444,-10.29689,1.086,
-1.410856,-9.513269,0.1938478,-0.9017507,-9.888628,0.1958328,0.6412385,-10.97,0.1456191,-2.444,-10.56606,-0.634,-1.424,-9.900985,1.086,-2.444,-10.29598,1.086,
-1.411872,-9.513628,0.1957172,-0.919408,-9.877007,0.2133298,0.6412385,-10.97,0.1456191,-2.444,-10.56501,-0.634,-1.424,-9.901381,1.086,-2.444,-10.29502,1.086,
-1.412953,-9.514099,0.1975104,-0.9359061,-9.864737,0.2283456,0.6412385,-10.97,0.1456191,-2.444,-10.56397,-0.634,-1.424,-9.901673,1.086,-2.444,-10.29403,1.086,
-1.41593,-9.515821,0.2005884,-0.9529573,-9.852299,0.2433999,0.6412385,-10.97,0.1456191,-2.444,-10.56328,-0.634,-1.424,-9.901809,1.086,-2.444,-10.29334,1.086,
-1.417559,-9.516794,0.2022583,-0.9703997,-9.840902,0.2587405,0.6412385,-10.97,0.1456191,-2.444,-10.56227,-0.634,-1.424,-9.901922,1.086,-2.444,-10.29231,1.086,
-1.419215,-9.517261,0.2045271,-0.9886366,-9.833569,0.2758496,0.6412385,-10.97,0.1456191,-2.444,-10.56161,-0.634,-1.424,-9.901937,1.086,-2.444,-10.29161,1.086,
-1.423268,-9.517898,0.2093946,-1.003521,-9.831232,0.2904952,0.6412385,-10.97,0.1456191,-2.444,-10.56066,-0.634,-1.424,-9.901868,1.086,-2.444,-10.29056,1.086,
-1.425472,-9.518164,0.2115594,-1.017693,-9.833542,0.3069081,0.6412385,-10.97,0.1456191,-2.444,-10.55977,-0.634,-1.424,-9.90169,1.086,-2.444,-10.28953,1.086,
-1.427837,-9.518242,0.2135328,-1.032339,-9.839463,0.3235179,0.6412385,-10.97,0.1456191,-2.444,-10.55893,-0.634,-1.424,-9.901406,1.086,-2.444,-10.28851,1.086,
-1.433861,-9.519767,0.2170067,-1.045657,-9.846225,0.3422938,0.6412385,-10.97,0.1456191,-2.444,-10.55841,-0.634,-1.424,-9.901158,1.086,-2.444,-10.28786,1.086,
