Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,V826_x,V826_y,V826_z,R836_x,R836_y,R836_z,A554_x,A554_y,A554_z,
-1.678545,-9.485909,-0.2671257,-1.469296,-10.11849,-0.4612007,-0.2354935,-10.97,-0.6974035,-1.424,-10.24155,-0.634,-2.444,-9.924675,1.086,-0.404,-9.625279,-1.064,
-1.67835,-9.48524,-0.2663615,-1.467422,-10.11767,-0.4610743,-0.2354935,-10.97,-0.6974035,-1.424,-10.24051,-0.634,-2.444,-9.92499,1.086,-0.404,-9.624249,-1.064,
-1.678082,-9.484439,-0.2656156,-1.466784,-10.11769,-0.4613861,-0.2354935,-10.97,-0.6974035,-1.424,-10.23918,-0.634,-2.444,-9.925243,1.086,-0.404,-9.622855,-1.064,
-0.5966047,-9.48411,-0.5345062,-0.3869692,-10.11967,-0.732183,0.8458393,-10.97,-0.9666651,-1.424,-10.23791,-0.634,-2.444,-9.925304,1.086,-0.404,-9.621466,-1.064,
-0.5968126,-9.483898,-0.5341452,-0.3888942,-10.12095,-0.7336097,0.8458393,-10.97,-0.9666651,-1.424,-10.23702,-0.634,-2.444,-9.925222,1.086,-0.404,-9.620441,-1.064,
-0.5964748,-9.483814,-0.533861,-0.3905789,-10.12349,-0.7347856,0.8458393,-10.97,-0.9666651,-1.424,-10.23619,-0.634,-2.444,-9.925032,1.086,-0.404,-9.619445,-1.064,
-0.59626,-9.483827,-0.5336955,-0.3916346,-10.12489,-0.7352777,0.8458393,-10.97,-0.9666651,-1.424,-10.23544,-0.634,-2.444,-9.924734,1.086,-0.404,-9.618488,-1.064,
-0.596274,-9.484089,-0.5331608,-0.3929628,-10.12575,-0.7358608,0.8458393,-10.97,-0.9666651,-1.424,-10.23476,-0.634,-2.444,-9.924334,1.086,-0.404,-9.617581,-1.064,
-0.5963098,-9.484008,-0.5330526,-0.3932978,-10.12478,-0.7366663,0.8458393,-10.97,-0.9666651,-1.424,-10.23417,-0.634,-2.444,-9.923834,1.086,-0.404,-9.616734,-1.064,
-0.5960916,-9.483958,-0.5328492,-0.3926853,-10.12335,-0.7373651,0.8458393,-10.97,-0.9666651,-1.424,-10.23368,-0.634,-2.444,-9.923241,1.086,-0.404,-9.615954,-1.064,
-0.5960399,-9.48401,-0.5329567,-0.3921436,-10.12091,-0.7383423,0.8458393,-10.97,-0.9666651,-1.424,-10.2334,-0.634,-2.444,-9.922797,1.086,-0.404,-9.615478,-1.064,
-0.596166,-9.484443,-0.5337105,-0.3923384,-10.11936,-0.7392421,0.8458393,-10.97,-0.9666651,-1.424,-10.23299,-0.634,-2.444,-9.921802,1.086,-0.404,-9.614635,-1.064,
-0.5964195,-9.484955,-0.5343509,-0.3932136,-10.1183,-0.7405372,0.8458393,-10.97,-0.9666651,-1.424,-10.2328,-0.634,-2.444,-9.920972,1.086,-0.404,-9.614111,-1.064,
-0.5968577,-9.485533,-0.5362728,-0.3940831,-10.11708,-0.7421778,0.8458393,-10.97,-0.9666651,-1.424,-10.23273,-0.634,-2.444,-9.920079,1.086,-0.404,-9.613684,-1.064,
-0.5969709,-9.486191,-0.5371696,-0.3947734,-10.11643,-0.7434859,0.8458393,-10.97,-0.9666651,-1.424,-10.23276,-0.634,-2.444,-9.919134,1.086,-0.404,-9.613358,-1.064,
-0.5975991,-9.487232,-0.5378727,-0.3966135,-10.11642,-0.7445869,0.8458393,-10.97,-0.9666651,-1.424,-10.2329,-0.634,-2.444,-9.918147,1.086,-0.404,-9.613139,-1.064,
-0.5995723,-9.489597,-0.5407242,-0.3995231,-10.11729,-0.7455792,0.8458393,-10.97,-0.9666651,-1.424,-10.23305,-0.634,-2.444,-9.917472,1.086,-0.404,-9.613053,-1.064,
-0.6009008,-9.490618,-0.5422614,-0.4032084,-10.11812,-0.7469714,0.8458393,-10.97,-0.9666651,-1.424,-10.23337,-0.634,-2.444,-9.916439,1.086,-0.404,-9.613015,-1.064,
-0.6023527,-9.491099,-0.5440208,-0.4077703,-10.11914,-0.7495219,0.8458393,-10.97,-0.9666651,-1.424,-10.23379,-0.634,-2.444,-9.915395,1.086,-0.404,-9.613086,-1.064,
-0.6048073,-9.491369,-0.5463277,-0.4114977,-10.11979,-0.7522609,0.8458393,-10.97,-0.9666651,-1.424,-10.23413,-0.634,-2.444,-9.914697,1.086,-0.404,-9.613194,-1.064,
-0.6064233,-9.491729,-0.5475813,-0.4155937,-10.11882,-0.7564554,0.8458393,-10.97,-0.9666651,-1.424,-10.23471,-0.634,-2.444,-9.913657,1.086,-0.404,-9.613445,-1.064,
-0.6080822,-9.49167,-0.5487448,-0.418924,-10.11683,-0.7609272,0.8458393,-10.97,-0.9666651,-1.424,-10.23538,-0.634,-2.444,-9.912635,1.086,-0.404,-9.613802,-1.064,
-0.6127526,-9.491592,-0.5509497,-0.4233407,-10.11438,-0.7658126,0.8458393,-10.97,-0.9666651,-1.424,-10.23587,-0.634,-2.444,-9.911969,1.086,-0.404,-9.614096,-1.064,
-0.6156644,-9.491281,-0.5516238,-0.4284121,-10.11099,-0.7702404,0.8458393,-10.97,-0.9666651,-1.424,-10.23667,-0.634,-2.444,-9.911002,1.086,-0.404,-9.614617,-1.064,
-0.6182858,-9.490714,-0.5516255,-0.4349431,-10.10714,-0.7737172,0.8458393,-10.97,-0.9666651,-1.424,-10.23754,-0.634,-2.444,-9.910083,1.086,-0.404,-9.615232,-1.064,
-0.6223398,-9.489141,-0.550501,-0.4419507,-10.10274,-0.7770609,0.8458393,-10.97,-0.9666651,-1.424,-10.23814,-0.634,-2.444,-9.9095,1.086,-0.404,-9.615688,-1.064,
-0.6240643,-9.488169,-0.5494844,-0.4476858,-10.09664,-0.7815514,0.8458393,-10.97,-0.9666651,-1.424,-10.2391,-0.634,-2.444,-9.908681,1.086,-0.404,-9.616441,-1.064,
-0.6255592,-9.487001,-0.5479922,-0.4527882,-10.08773,-0.7879627,0.8458393,-10.97,-0.9666651,-1.424,-10.24009,-0.634,-2.444,-9.907935,1.086,-0.404,-9.617264,-1.064,
-0.6268078,-9.485182,-0.5447739,-0.4569472,-10.07642,-0.7953094,0.8458393,-10.97,-0.9666651,-1.424,-10.24112,-0.634,-2.444,-9.907269,1.086,-0.404,-9.618151,-1.064,
-0.6276027,-9.48418,-0.5435055,-0.4627277,-10.06251,-0.8045454,0.8458393,-10.97,-0.9666651,-1.424,-10.24181,-0.634,-2.444,-9.906874,1.086,-0.404,-9.618773,-1.064,
-0.6285716,-9.483208,-0.5420932,-0.4679986,-10.04746,-0.8144794,0.8458393,-10.97,-0.9666651,-1.424,-10.24286,-0.634,-2.444,-9.906359,1.086,-0.404,-9.619742,-1.064,
-0.6297425,-9.481809,-0.539605,-0.4730815,-10.02596,-0.8280883,0.8458393,-10.97,-0.9666651,-1.424,-10.2439,-0.634,-2.444,-9.905941,1.086,-0.404,-9.620748,-1.064,
-0.6301733,-9.481422,-0.5386984,-0.4762796,-10.00637,-0.8413126,0.8458393,-10.97,-0.9666651,-1.424,-10.24493,-0.634,-2.444,-9.905626,1.086,-0.404,-9.621778,-1.064,
-0.6305634,-9.481126,-0.5381396,-0.4798495,-9.982924,-0.8569188,0.8458393,-10.97,-0.9666651,-1.424,-10.24561,-0.634,-2.444,-9.905476,1.086,-0.404,-9.622474,-1.064,
