Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z
-3.996846,-10.1854,-0.4341836,-4.194119,-10.26093,-0.473899,-4.135013,-10.25273,-0.3116175
-3.996757,-10.18534,-0.4342272,-4.194214,-10.26089,-0.4740545,-4.134993,-10.25304,-0.3113009
-3.996826,-10.18529,-0.4342477,-4.194128,-10.26121,-0.4742686,-4.135094,-10.25272,-0.3116671
-3.996898,-10.1852,-0.4342537,-4.194215,-10.26071,-0.4740745,-4.135205,-10.25243,-0.3116914
-3.99685,-10.18508,-0.4342029,-4.194254,-10.2606,-0.4743353,-4.135274,-10.25238,-0.3117329
-3.996873,-10.18509,-0.4343872,-4.194222,-10.26055,-0.4742585,-4.135137,-10.25252,-0.3118521
-3.996806,-10.18504,-0.4344947,-4.194092,-10.26053,-0.474228,-4.134919,-10.25255,-0.3118531
-3.996849,-10.18498,-0.4344978,-4.194155,-10.26047,-0.4741675,-4.134938,-10.25253,-0.3119677
-3.996992,-10.18498,-0.4346547,-4.194137,-10.26035,-0.4742056,-4.135066,-10.25259,-0.3117498
-3.996882,-10.18494,-0.4346616,-4.194262,-10.26029,-0.4744288,-4.134999,-10.25276,-0.3118569
-3.996889,-10.18491,-0.4346902,-4.194089,-10.26036,-0.4741675,-4.134897,-10.25245,-0.3120626
-3.996925,-10.18486,-0.4346888,-4.194143,-10.26031,-0.4741868,-4.134983,-10.2523,-0.3120447
-3.996888,-10.18487,-0.4347019,-4.194102,-10.26027,-0.4742366,-4.134952,-10.25228,-0.3120567
-3.996843,-10.18482,-0.4349062,-4.194074,-10.26018,-0.4742309,-4.13486,-10.25252,-0.3117725
-3.996861,-10.1848,-0.4348547,-4.194053,-10.2603,-0.4742607,-4.134887,-10.25255,-0.3120638
-3.99687,-10.18478,-0.4348977,-4.194117,-10.26019,-0.4742159,-4.13502,-10.25236,-0.3120011
-3.996906,-10.18477,-0.4349134,-4.194155,-10.26023,-0.4741546,-4.135031,-10.25234,-0.3119842
-3.996943,-10.18477,-0.4349337,-4.1942,-10.26023,-0.4742538,-4.135069,-10.25231,-0.3120705
-3.996897,-10.18482,-0.4349022,-4.194173,-10.26031,-0.4742714,-4.134992,-10.25228,-0.3121272
-3.996899,-10.18478,-0.4349039,-4.194274,-10.26042,-0.4743897,-4.135136,-10.25223,-0.3122054
-3.996854,-10.18474,-0.4349828,-4.194344,-10.26038,-0.4744228,-4.13509,-10.25239,-0.3119293
-3.996822,-10.18475,-0.4350307,-4.194262,-10.26052,-0.474384,-4.135119,-10.25217,-0.3122517
-3.996854,-10.18478,-0.4352593,-4.194193,-10.26068,-0.4743854,-4.135043,-10.25243,-0.312389
-3.996884,-10.18478,-0.4352596,-4.194174,-10.26084,-0.4742595,-4.135147,-10.25247,-0.3123261
-3.996901,-10.18479,-0.4352913,-4.194196,-10.26085,-0.4743174,-4.135078,-10.25251,-0.3123337
-3.996874,-10.18477,-0.4352226,-4.194223,-10.26085,-0.4742273,-4.135077,-10.2528,-0.3120662
-3.996885,-10.18473,-0.4352634,-4.194131,-10.26086,-0.4740475,-4.134979,-10.25253,-0.3123678
-3.996858,-10.18476,-0.4352586,-4.194105,-10.26091,-0.4738532,-4.134929,-10.25253,-0.312318
-3.996834,-10.18471,-0.435077,-4.194132,-10.26085,-0.4736058,-4.13491,-10.2523,-0.3121287
-3.996837,-10.18475,-0.4351609,-4.194077,-10.26097,-0.4737407,-4.134874,-10.25242,-0.3122503
-3.996915,-10.18484,-0.4351366,-4.19404,-10.26099,-0.473734,-4.134997,-10.25247,-0.3122925
-3.996905,-10.18485,-0.4351892,-4.194305,-10.26096,-0.4739932,-4.135023,-10.25249,-0.3123161
-3.996927,-10.18492,-0.434936,-4.194134,-10.26093,-0.4739548,-4.134868,-10.25239,-0.3122364
-3.996818,-10.18491,-0.4348035,-4.194254,-10.26034,-0.4736482,-4.135112,-10.25214,-0.3121744
-3.996901,-10.18488,-0.434691,-4.194247,-10.26075,-0.4744083,-4.13505,-10.25217,-0.3121303
-3.996928,-10.18485,-0.4347644,-4.194358,-10.26054,-0.474353,-4.135395,-10.25214,-0.3122445
-3.99693,-10.18484,-0.4346368,-4.194275,-10.26035,-0.4742314,-4.13525,-10.25208,-0.312184
-3.996978,-10.18481,-0.4346871,-4.194302,-10.26042,-0.4742657,-4.135211,-10.25206,-0.3121923
-3.997075,-10.18488,-0.4348652,-4.194304,-10.2605,-0.474368,-4.135234,-10.25228,-0.3123835
-3.997031,-10.18488,-0.4348001,-4.194326,-10.26039,-0.4744898,-4.135116,-10.25223,-0.3124036
-3.997029,-10.18491,-0.4347727,-4.194142,-10.26034,-0.474378,-4.135128,-10.2522,-0.3125242
-3.996991,-10.18495,-0.4347217,-4.194182,-10.26038,-0.4743546,-4.13517,-10.25214,-0.3126465
-3.996884,-10.185,-0.4347918,-4.194214,-10.26034,-0.4745013,-4.135092,-10.25208,-0.3127428
-3.996804,-10.18492,-0.4347122,-4.194003,-10.26034,-0.4740921,-4.134791,-10.2519,-0.3127061
-3.996813,-10.18491,-0.4348047,-4.194038,-10.26036,-0.4741892,-4.134871,-10.2519,-0.3127562
-3.996804,-10.1849,-0.4347255,-4.194084,-10.26039,-0.4741913,-4.134931,-10.25185,-0.3127981
-3.996799,-10.18493,-0.4347303,-4.194033,-10.26032,-0.4742008,-4.134922,-10.25176,-0.3127991
-3.996821,-10.18495,-0.4346006,-4.194017,-10.26029,-0.474135,-4.13494,-10.25165,-0.3129319
-3.996881,-10.18494,-0.4345341,-4.194074,-10.26027,-0.4740778,-4.135023,-10.25159,-0.3129708
-3.996882,-10.18493,-0.434509,-4.194163,-10.26025,-0.4741236,-4.135092,-10.25153,-0.3130361
-3.996794,-10.18493,-0.4347112,-4.194016,-10.2604,-0.4742042,-4.134874,-10.25172,-0.3131284
-3.996834,-10.18507,-0.4346666,-4.194075,-10.26046,-0.474198,-4.134954,-10.25182,-0.3130928
-3.996918,-10.1851,-0.43454,-4.194041,-10.26038,-0.4741904,-4.135115,-10.2519,-0.312831
-3.996908,-10.18508,-0.4345191,-4.194118,-10.26031,-0.4742299,-4.135139,-10.25155,-0.313229
-3.99691,-10.18509,-0.4345078,-4.19409,-10.26038,-0.4741937,-4.135092,-10.25157,-0.3132759
-3.996875,-10.1851,-0.434433,-4.19416,-10.26039,-0.4741801,-4.135111,-10.25149,-0.3133894
-3.996848,-10.18517,-0.43466,-4.194124,-10.26062,-0.4743677,-4.134933,-10.25171,-0.3135315
-3.996857,-10.18511,-0.4346156,-4.194164,-10.26054,-0.4742364,-4.134998,-10.2516,-0.3134581
-3.996836,-10.18513,-0.4346228,-4.194027,-10.26054,-0.4740959,-4.134857,-10.25161,-0.3134047
-3.996861,-10.1851,-0.4344351,-4.194004,-10.26058,-0.4740998,-4.134836,-10.25152,-0.3135296
-3.996755,-10.18502,-0.4345691,-4.194209,-10.26057,-0.4739248,-4.134987,-10.25149,-0.313383
-3.996798,-10.18505,-0.434706,-4.19413,-10.26082,-0.474022,-4.134863,-10.25185,-0.3134238
-3.996765,-10.185,-0.4346724,-4.194077,-10.26086,-0.4737588,-4.134817,-10.25182,-0.3132309
-3.996781,-10.18494,-0.4347603,-4.194111,-10.26085,-0.4736987,-4.134895,-10.25202,-0.3128866
-3.99683,-10.18501,-0.4346025,-4.194106,-10.26074,-0.4736401,-4.135033,-10.25192,-0.3130442
-3.99683,-10.18506,-0.4346354,-4.194166,-10.26068,-0.4737231,-4.135071,-10.25191,-0.3131124
-3.996823,-10.18502,-0.4346936,-4.194156,-10.26069,-0.4737025,-4.135082,-10.25185,-0.3130265
-3.99678,-10.18499,-0.4346459,-4.194147,-10.26079,-0.4738055,-4.134995,-10.2519,-0.3129364
-3.996676,-10.18497,-0.4347775,-4.194064,-10.26094,-0.4739069,-4.134731,-10.25204,-0.312843
-3.996777,-10.18502,-0.4349456,-4.193925,-10.26079,-0.4739906,-4.135328,-10.25224,-0.3131074
-3.996792,-10.18504,-0.4349022,-4.194032,-10.26086,-0.4739639,-4.135203,-10.25205,-0.3128825
-3.996827,-10.18503,-0.4348032,-4.194024,-10.26079,-0.4741493,-4.135234,-10.2523,-0.3126889
-3.996933,-10.18503,-0.4347141,-4.194049,-10.26072,-0.4739801,-4.135211,-10.25206,-0.312873
-3.997001,-10.18511,-0.4347255,-4.194159,-10.26073,-0.474039,-4.135201,-10.25234,-0.3126632
-3.997006,-10.18516,-0.4345858,-4.19417,-10.26073,-0.4740068,-4.135139,-10.252,-0.3129164
-3.996979,-10.1851,-0.4345212,-4.19416,-10.26066,-0.4738411,-4.135054,-10.25191,-0.3127278
-3.996938,-10.18509,-0.4346254,-4.194132,-10.26077,-0.4738606,-4.134948,-10.25205,-0.312709
