Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,R_x,R_y,R_z,A_x,A_y,A_z,
-4.453069,-10.36421,0.06817971,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34045,-1.064,-1.934,-10.16184,0.226,-1.424,-9.767344,-1.064,
-4.452747,-10.36422,0.06841861,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34112,-1.064,-1.934,-10.16253,0.226,-1.424,-9.767695,-1.064,
-4.452381,-10.36414,0.06862555,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34146,-1.064,-1.934,-10.16287,0.226,-1.424,-9.767887,-1.064,
-4.452045,-10.36406,0.06886624,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34215,-1.064,-1.934,-10.16355,0.226,-1.424,-9.768301,-1.064,
-4.451722,-10.36404,0.0691012,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34284,-1.064,-1.934,-10.16421,0.226,-1.424,-9.768753,-1.064,
-4.451383,-10.36396,0.0693631,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34354,-1.064,-1.934,-10.16485,0.226,-1.424,-9.76924,-1.064,
-4.451053,-10.36389,0.06963788,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34424,-1.064,-1.934,-10.16548,0.226,-1.424,-9.769762,-1.064,
-4.450713,-10.36383,0.06990264,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34493,-1.064,-1.934,-10.16608,0.226,-1.424,-9.770314,-1.064,
-4.450353,-10.36374,0.07017837,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34562,-1.064,-1.934,-10.16665,0.226,-1.424,-9.770896,-1.064,
-4.449982,-10.36367,0.07047318,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.3463,-1.064,-1.934,-10.1672,0.226,-1.424,-9.771502,-1.064,
